contender,scenario,seed_band,n_episodes,episode_length,p50,p95,p99,mean_lat,sla_pct,shed_pct,reward,hhi
power_of_two_choices,heterogeneous,33000-33039,40,128,48.00437530929574,1127.7744613625216,1322.802747358259,284.4444399171708,35.8203125,11.617178090335404,-3.251624149682537,0.2789712056561352
power_of_two_choices,heterogeneous,34000-34039,40,128,38.89984700555729,1021.3702935208387,1278.7249005048561,241.50905627806824,31.386718749999996,10.202020611037597,-2.802804949018955,0.26874811641426233
least_response_time,heterogeneous,30000-30039,40,128,30.294522717927823,1012.7250465957011,1269.4204437509632,236.7801687690191,33.37890625,8.876393403923624,-2.486692737305524,0.3532528780987466
least_response_time,heterogeneous,31000-31039,40,128,37.21829831261111,986.9356317989283,1180.6901223978502,283.0599521032497,45.60546875,13.06968068625974,-3.1320982353601337,0.3901766045316034
least_response_time,heterogeneous,32000-32039,40,128,31.225112031604986,1045.4998338641537,1267.3828511801576,287.73252743212987,39.00390625,12.08309442152378,-3.0744757985596336,0.382227275610041
least_response_time,heterogeneous,33000-33039,40,128,32.36109698236213,1163.1376048787677,1290.8571155459913,318.67929162169577,43.28125,12.862531155211615,-3.344471058565867,0.3922873495412467
least_response_time,heterogeneous,34000-34039,40,128,30.3400719940189,1098.5043367431763,1278.724900504856,222.92769832724053,30.9765625,10.182751074919754,-2.4369122924412863,0.34847117623706064
weighted_least_connections,heterogeneous,30000-30039,40,128,36.924320799067004,814.8791721285348,1144.0083601388205,185.94029096013824,22.48046875,12.339378832953965,-2.4232637268683574,0.2958617146178895
weighted_least_connections,heterogeneous,31000-31039,40,128,49.972318196245546,1136.031570198073,1302.7779555064014,315.7002150435933,38.65234375,19.6389753589552,-3.8707770428219455,0.34446909962674593
weighted_least_connections,heterogeneous,32000-32039,40,128,40.379056971305246,1158.4595582264824,1285.2000122014292,291.88446526667315,33.10546875,16.380316688812965,-3.4548380466695825,0.31656638408601606
weighted_least_connections,heterogeneous,33000-33039,40,128,52.55739325568145,1176.0159080310473,1322.802747358259,328.4880024969669,36.484375,18.624950322297014,-3.90516974338088,0.3398144220503241
weighted_least_connections,heterogeneous,34000-34039,40,128,40.26620292527405,1225.7003529226042,1291.7219288024014,283.68697767259874,32.2265625,16.635799757162978,-3.394596260116296,0.3212057206001144
